id,date,comment
12,2004-03-18," Added commas, fixed McQuinn link"
12,2004-03-20, more see also
12,2004-03-22, rv - calling the dictionary naive isnt very neutral
12,2004-03-22," rv, changes innacurate/POV"
12,2004-03-23," rv, not POV to say \. More POV to use term \. Go to talk page before rv again!"
12,2004-03-23, anrachy changed to anarchism
12,2004-03-26, fixing assassinated heads of state links
12,2004-03-26," Between 1894 and 1901, individual anarchists assassinated numerous heads of state... [making it clear it wasn't some organised group of anarchists]"
12,2004-03-26, in anarchist? philosophies->in anarchist philosophies
12,2004-03-29, removing dispute header
12,2004-03-30," =Periodicals= Moved \ outside the link to \, now it should work"
12,2004-03-31, [anarchists intend] \ to refer to a desirable stateless society rather than a chaotic political situation.
12,2004-03-31, =Anarchy=
12,2004-03-31, clarity
12,2004-04-02, theoretically desirable stateless society said to be different from a chaotic political situation
12,2004-04-02," rather, it intends \ to refer to a stateless society said to be different from a chaotic political situation."
12,2004-04-03, anarchists intend anarchy to refer to a desirable stateless society
12,2004-04-03," refer to a theoretically desirable stateless society, saying it is desirable is POV"
12,2004-04-12, =Hungarian Revolution (1956)=
12,2004-04-13, rework intro to include common definition of anarchy
12,2004-04-14, heirarchy => hierarchy
12,2004-04-14," intro = include social movements, remove definition for \"
12,2004-04-14, =Anarchist movements=
12,2004-04-18, changed play-write in playwright
12,2004-04-20, and the instalation of [[egalitarianism]]
12,2004-04-22, added the links to articles in other languages
12,2004-04-25, intl
12,2004-05-02, corrected ja:
12,2004-05-02," rv deletion of egalitarian by anon, discuss in talk"
12,2004-05-03," =Modern anarchism= In the cold war, \ is a better description of the West than \"
12,2004-05-03, rm mention of egalitarianism from the 1st sentance
12,2004-05-03, =Anarchist social organization= controlling anti-social behavior
12,2004-05-03, =Anarchist social organization= typo from my last edit
12,2004-05-03, =Anarchist political organization= confederations
12,2004-05-03," First part of article heavily edited and reorganized. I'll get to the latter half in a bit, but I wanted to save the edit before it got much more substantial."
12,2004-05-03," OK, I've done what I can with what's in the article. I think that a whole lot of stuff that's currently in other articles needs to be moved into this article."
12,2004-05-03, =Books=
12,2004-05-03, =Books=
12,2004-05-03, =Violence and non-violence=
12,2004-05-03," =See also= [[Anarchism and violence]] removed - all content was redundant, article is now a redirect."
12,2004-05-03, =Precursors of anarchism= Content from [[Historical origins of anarchism]] folded in
12,2004-05-03, =See also= [[Historical origins of anarchism]] deleted - all content has now been folded into this article. Old article is a redirect.
12,2004-05-03, Added anarchism and Marxism. Not done - just have to eat dinner.
12,2004-05-03, =Arguments surrounding the issue of the state=
10,2007-05-24, Robot: Automated text replacement (-\\[\\[(.*?[\\:|\\|])*?(.+?)\\]\\] +\\g<2>)
6,2007-05-24, Robot: Automated text replacement (-\\[\\[(.*?[\\:|\\|])*?(.+?)\\]\\] +\\g<2>)
8,2007-05-24, Robot: Automated text replacement (-\\[\\[(.*?[\\:|\\|])*?(.+?)\\]\\] +\\g<2>)
12,2004-03-03, see Talk on the functioning anarchies
12,2004-03-03, rearrangement of free information movements
12,2004-03-03, +w:pt
12,2004-03-03, more on functional/dysfunctional anarchy
12,2004-03-04," De-emphasising \, which seems to be less (not more as I had once thought) specific. But keeping both links."
12,2004-03-04, Replaced term \ with \ in Free Software one liner. FS Movement doesn't aim at alienated exchange/use value embodyments.
12,2004-03-04, adding sentance tointroduction
12,2004-03-04, [[anarchy]] -> [[anomie]] (see talk)
12,2004-03-04, added links
12,2004-03-04, Quoted Toby from talk page
12,2004-03-04, this article is much improved from what I've read so far!
12,2004-03-04, Spanish Revolution/Civil war
12,2004-03-04, functioning anarchies in reverse chronological order
12,2004-03-04," Moving examples of anomie to [[Anomie]], per talk."
12,2004-03-05, NPOV header
12,2004-03-05," anomie is not an acceptable substitute for anarchy, they arn't the same"
12,2004-03-06," Removed message: '''''Don't feed the troll.''''' (if this has some deep, hidden meaning (i.e., a point) please tell me)"
12,2004-03-07, title changed from Spain to \; should Barcelona be mentioned specifically here?
12,2004-03-07, section title: \
12,2004-03-07, section title: \
12,2004-03-07," [[Worker occupation]]s of factories and [[popular assembly|popular assemblies]] have both been seen functioning in Argentina, and both are the kind of action endorsed by anarchists: the first is a cas"
12,2004-03-13, typo
12,2004-03-13, removing disputed sentance
12,2004-03-13, adding sentance to 1st paragraph
12,2004-03-13, reducing a sentance
12,2004-03-13, duplicate wikilink
12,2004-03-13," adding citation, altering sentance, changing header"
12,2004-03-13," wikilinks, rewrites of sentances"
12,2004-03-13, rewrite of sentance
12,2004-03-13, adding sentance
12,2004-03-13," removed sentance, changed header"
12,2004-03-14, duplicate \
12,2004-03-14, grammer
12,2004-03-14, removing innacurate sentance
12,2004-03-14, anarchy is not regarded that way by political science
12,2004-03-14, rm \
12,2004-03-14, adding \
12,2004-03-14, adding \ in place of conventional
12,2004-03-14, rewrite of sentance
12,2004-03-14," NPOV, wikilinks, fmt"
12,2004-03-14, adding syndicalism and nihilism
12,2004-03-14," NPOV, moving paragraph to talk"
12,2004-03-14, NPOV
12,2004-03-14, adding sentance
12,2004-03-14, added to my sentance
12,2004-03-14, Hungarian Revolution (1956) successful communism?
12,2004-03-14, NPOV
12,2004-03-14, A conventional view of argentinian politics
12,2004-03-14, NPOV
12,2004-03-14," NPOV, wikilinks"
12,2004-03-14, NPOV
12,2004-03-14, rewrite of some sentances
12,2004-03-14, NPOV
12,2004-03-14, removing strange dead wikilink
12,2004-03-14, NPOV
12,2004-03-14, NPOV
12,2004-03-14, NPOV
12,2004-03-14, correction
12,2004-03-14, NPOV
12,2004-03-14, rewrite of sentance
12,2004-03-14, numerous spelling and grammer edits
12,2004-03-14, Made formatting consistent
12,2004-03-14," \ is the spelling Russell used, we might as well keep the quote exact :) check the dictionary, it is a valid alternative spelling!"
12,2004-03-15, change sentence: \ ?
12,2004-03-16, The anarchy sought by phil anarchists is not merely \ not to be anomie. Those who disown ac are not necessarily soc or com. Anarchism doesn't entail a \ absence of coercion
12,2004-03-16," There were a handful of propaganda by the deed events amongs tens of thousands of anarchists, thus it was not a popular tactic. Two sentences moved to talk page."
12,2004-03-16," correction, citation 1st paragraph"
12,2004-03-16, somalia is refered to as being in a state of anarchy by everyone
12,2004-03-16," imp. distinction\
"
12,2004-03-16, grammer
12,2004-03-16, placing paragraph from talk I edited (no objections stated)
12,2004-03-16, Reverted edits by 4.35.129.48 to last version by Sam Spade
12,2004-03-16, rm \ - really!
12,2004-03-16, \ does not have views
12,2004-03-16," Not all media coverage suggests this, nor do I accept that the view of the C.I.A., or any state propaganda organ, is automatically \"
12,2004-03-16, rewrite of sentance
12,2004-03-16," correction, its nmot sometimes, its nearly always refered to that way"
12,2004-03-16, even better rewrite of sentance
12,2004-03-16, view -> description (it seems pretty factual to me anyway)
12,2004-03-16, rewrite of \
12,2004-03-16," removed my unnecessary \
"
12,2004-03-16, NPOV
12,2004-03-16," you can theorsize about how their might be, but there will never be an abscense of coercian"
12,2004-03-16, NPOV
12,2004-03-17," rewrite of sentance discussed in talk, 1st par"
12,2004-03-17, 2nd rewrite of said sentance
12,2004-02-03, Gerrard Winstanley
12,2004-02-04," *[[May 1968]], France"
12,2004-02-13, Added a link to the Russian Wikipedia
12,2004-02-13, corrected the link to the Russian Wikipedia
12,2004-02-16, This paragraph was taken out because it gives the false impression that anarcho-capitalism was a major development in American anarchism. This is clearly false as most anarchists would tell you.
12,2004-02-16, Added some living anarchists to better represent the famous anarchists section.
12,2004-02-16, Added NAA link and GA links
12,2004-02-16, Added Ba Jin
12,2004-02-16," Added ASR, Social Anarshim and NEA to the list of journals, Added \ list"
12,2004-02-16, Added more links
12,2004-02-16, Added Starhawk
12,2004-02-18, Added Howard Zinn & Hungarian Revolution of 1956 to lists of people & events
12,2004-02-19, Buenaventura Durruti
12,2004-02-19, + no
12,2004-02-19," serious pov since last year's compromise was abandoned, working on"
12,2004-02-20, moving moved para i inadvertently misplaced
12,2004-02-21, Minor spelling and link changes
12,2004-02-21, restoring deleted paragraph
12,2004-02-21, restoring other deleted para
12,2004-02-23," Chuck discussed the changes, reverting them without replying to or in any way addressing his concerns is not constructive"
12,2004-02-23, Wikipedia a paragon of anarchy
12,2004-02-23," no, those changes were not discussed; \ is silly and pov"
12,2004-02-23, removing speculation and non-NPOV statements
12,2004-02-26, wiki a paragon of anarchy
12,2004-02-26, resurrecting \ paragraph from oct 2002 version of this page!
12,2004-02-26," Development of Anarchism: on the Anabaptists, quote from Bertrand Russell's History of Western Philosophy"
12,2004-02-26, Added argentina
