comment,sadness,anger,confident,analytical
 powers and abilities  rm ohotmu and new avengers files stats. cmon we all know that its against wikipedia policy to use stats unless theyre actually mentioned in a canon issue of a comic.,0.0,0.0,0.950217,0.0
 powers and abilities  rm ohotmu and new avengers files stats. cmon we all know that its against wikipedia policy to use stats unless theyre actually mentioned in a canon issue of a comic.,0.0,0.0,0.0,0.829888
added category wealthy fictional characters based on canon in the pretty sammy series.,0.0,0.0,0.0,0.821913
added category wealthy fictional characters based on canon in the pretty sammy series.,0.0,0.0,0.0,0.0
 the titanic and doctor who  we dont need every mention esp non canon,0.0,0.0,0.0,0.0
moved [[canon law (catholic church)]] to [[canon law (roman catholic church)]]: rv disputed move,0.0,0.0,0.751512,0.0
i replaced skeptical language regarding the adoption of the nicene creed and the new testament canon with a neutral statement of the facts.,0.0,0.0,0.560944,0.0
i replaced skeptical language regarding the adoption of the nicene creed and the new testament canon with a neutral statement of the facts.,0.0,0.0,0.0,0.860589
its not vandalizing to put the correct info. also your proof is just your opinion because there has never been anything to suggest its not canon.,0.0,0.0,0.0,0.0
its not vandalizing to put the correct info. also your proof is just your opinion because there has never been anything to suggest its not canon.,0.0,0.0,0.0,0.77494
compromise in video game section regarding its canon,0.0,0.0,0.0,0.762356
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
 see also  fixing wikipedia reference for canon; changed to canon (company).,0.0,0.0,0.0,0.541591
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
 non-canon resurrections  took out three deletable capations because fair use was added,0.0,0.0,0.0,0.620279
clarify canon get rid of redundant shravakayana =history=,0.0,0.0,0.0,0.988176
 accepted canon  the book of mormon is considered today to be more correct than the bible,0.0,0.0,0.0,0.506763
rv. there are some contradictory points here but i think this is canon,0.0,0.0,0.0,0.908301
rv. there are some contradictory points here but i think this is canon,0.0,0.0,0.0,0.0
[[category:canon law]],0.0,0.0,0.942582,0.0
[[category:canon law]],0.0,0.0,0.0,0.955445
 digital slr cameras  moved content from [[canon eos]],0.0,0.0,0.0,0.762356
the q entity has stated many times that he is omnipotent. it is also accepted star trek canon.,0.0,0.0,0.0,0.0
rv non canon please read the edit message about the infobox or visit [[template talk:infobox digimon]],0.0,0.0,0.0,0.0
rv - although it came packaged with some versions of half-life it doesnt seem to be considered canon by valve,0.0,0.0,0.0,0.705784
rv - although it came packaged with some versions of half-life it doesnt seem to be considered canon by valve,0.0,0.0,0.0,0.0
*major* edits grabbing improved info from the canon page. more edits to come.,0.0,0.0,0.0,0.660331
